"Date","Purchase_order_ID","Product_ID","Product_Name","Category1","Category2","Quantity","Unit_of_Measure","Unit_Price","Value","Supplier","Rabat","Type_order","Seasonality","Transport_Cost","Delivery_Expected","Delivery_Reality","Timeliness","Currency","Umowa_ramowa","Notes"
"6/21/2025","PO-000013","P-0108","Mahle Filters 440","Automotive","Filters","1","szt.","220.25","220.25","IndustrialCo Ltd","0.00%","ramowe","Q2","8-Apr","6/28/2025","7/1/2025","3","EUR","tak",""
"2/4/2025","PO-000014","P-0133","Honeywell Gloves Rękawice 20","BHP","Gloves","50","para","82.86","4143.0","IndustrialCo Sp. z o.o.","3.01%","produkcjne","Q1","153.06","2/10/2025","2/10/2025","0","PLN","tak",""
"5/15/2024","PO-000015","P-0243","SICK Sensors Model 802","Production","Sensors","1","szt.","989.81","989.81","AutoServ Sp. z o.o.","4.70%","produkcjne","Q2","45.97","5/19/2024","5/19/2024","0","PLN","tak",""
"11/15/2024","PO-000016","P-0010","Sachs Engine parts 450","Automotive","Engine parts","200","szt.","441.66","88332.0","IndustrialCo Sp. z o.o.","1.65%","produkcjne","Q4","1343.3","11/21/2024","11/21/2024","0","PLN","tak",""
"8/8/2025","PO-000017","P-0176","IKEA Office chairs 857","Office","Office chairs","1","szt.","488.2","488.2","LogiTrans Sp. z o.o.","4.57%","produkcjne","Q3","20.71","8/9/2025","8/9/2025","0","PLN","tak",""
"1/15/2024","PO-000018","P-0194","ABB Motors 403","Production","Motors","1","szt.","7069.12","7069.12","EuroSupply Sp. z o.o.","0.00%","ramowe","Q1","366.05","1/25/2024","1/25/2024","0","PLN","tak",""
"12/15/2024","PO-000019","P-0081","3M Helmets 757","BHP","Helmets","5","szt.","52.31","261.55","AutoServ Sp. z o.o.","4.35%","produkcjne","Q4","24.28","12/22/2024","12/22/2024","0","PLN","tak",""
"6/24/2025","PO-000020","P-0322","Castrol Oils 744L","Automotive","Oils","20","L","125.64","2512.8","IndustrialCo Sp. z o.o.","4.58%","produkcjne","Q2","140.74","7/1/2025","7/1/2025","0","PLN","tak",""
"3/16/2025","PO-000021","P-0046","DeWalt Tools 590","Production","Tools","1","szt.","1989.29","1989.29","SafeGear GmbH","1.52%","produkcjne","Q1","83.84","3/21/2025","3/21/2025","0","EUR","tak",""
"1/29/2025","PO-000022","P-0140","HP Toner 893","Office","Toner","200","szt.","545.65","109130.0","EuroSupply Sp. z o.o.","2.13%","produkcjne","Q1","4054.24","2/6/2025","2/6/2025","0","PLN","tak",""
"8/1/2024","PO-000023","P-0032","Gates Engine parts Model 115","Automotive","Engine parts","5","szt.","2055.25","10276.25","OfficeLine Sp. z o.o.","3.54%","ofertowe","Q3","28.84","8/2/2024","8/2/2024","0","PLN","nie",""
"7/15/2024","PO-000024","P-0094","NTN Bearings Model 142","Automotive","Bearings","5","szt.","41.12","205.6","PaperMax S.r.l.","2.82%","produkcjne","Q3","8-May","7/25/2024","8/4/2024","10","EUR","tak",""
"11/22/2023","PO-000025","P-0248","Castrol Oils 808L","Automotive","Oils","200","L","140.4","28080.0","TechParts Sp. z o.o.","4.58%","ramowe","Q4","595.08","11/23/2023","11/23/2023","0","PLN","tak",""
"1/21/2024","PO-000026","P-0026","Gates Engine parts 379","Automotive","Engine parts","20","szt.","780.69","15613.8","OfficeLine Sp. z o.o.","0.00%","ofertowe","Q1","448.17","1/22/2024","1/22/2024","0","PLN","nie",""
"7/29/2025","PO-000027","P-0157","Shell Oils 971L","Automotive","Oils","10","L","62.65","626.5","TechParts Sp. z o.o.","1.91%","produkcjne","Q3","27.69","8/1/2025","8/1/2025","0","PLN","tak",""
"2/12/2024","PO-000028","P-0026","Gates Engine parts 379","Automotive","Engine parts","10","szt.","890.94","8909.4","OfficeLine Sp. z o.o.","4.57%","produkcjne","Q1","161.34","2/14/2024","2/18/2024","4","PLN","nie",""
"5/12/2025","PO-000029","P-0055","Mann Filters Model 376","Automotive","Filters","200","szt.","276.08","55216.0","EuroSupply SARL","3.08%","produkcjne","Q2","142.34","5/20/2025","5/20/2025","0","EUR","tak",""
"9/3/2025","PO-000030","P-0151","Portwest Workwear 229","BHP","Workwear","5","szt.","472.96","2364.8","EuroSupply SARL","4.57%","produkcjne","Q3","117.49","9/12/2025","9/12/2025","0","EUR","tak",""
"1/4/2025","PO-000031","P-0323","SKF Bearings Model 701","Automotive","Bearings","10","szt.","245.2","2452.0","IndustrialCo Sp. z o.o.","0.00%","awaryjne","Q1","257.09","1/13/2025","1/13/2025","0","PLN","nie",""
"4/30/2024","PO-000032","P-0196","Castrol Oils 371L","Automotive","Oils","200","L","61.87","12374.0","IndustrialCo Sp. z o.o.","1.16%","produkcjne","Q2","209.33","5/6/2024","5/6/2024","0","PLN","tak",""
"12/14/2024","PO-000033","P-0285","Honeywell Safety glasses Model 260","BHP","Safety glasses","20","szt.","37.08","741.6","OfficeLine Sp. z o.o.","4.58%","produkcjne","Q4","55.06","12/15/2024","12/15/2024","0","PLN","tak",""
"10/4/2025","PO-000034","P-0030","Xerox Paper 153 op.","Office","Paper","5","op.","50.55","252.75","TechParts Ltd","4.59%","produkcjne","Q4","29-Jul","10/8/2025","10/8/2025","0","EUR","tak",""
"9/27/2025","PO-000035","P-0165","LG Monitors 668","IT","Monitors","100","szt.","3192.32","319232.0","AutoServ BV","2.77%","produkcjne","Q3","6000.0","10/6/2025","10/6/2025","0","EUR","tak",""
"12/13/2023","PO-000036","P-0325","3M Safety glasses Model 497","BHP","Safety glasses","5","szt.","135.32","676.6","ProMech Sp. z o.o.","0.00%","ramowe","Q4","13.81","12/18/2023","12/28/2023","10","PLN","tak",""
"5/25/2025","PO-000037","P-0166","Uvex Gloves Model 123","BHP","Gloves","10","para","84.44","844.4","EuroSupply SARL","2.46%","produkcjne","Q2","51.59","6/3/2025","6/3/2025","0","EUR","tak",""
"4/19/2024","PO-000038","P-0033","Helly Hansen Workwear Model 267","BHP","Workwear","1","szt.","421.64","421.64","ITDistrib Sp. z o.o.","4.58%","produkcjne","Q2","37.48","4/30/2024","4/30/2024","0","PLN","tak",""
"6/14/2024","PO-000039","P-0112","Mahle Filters Model 774","Automotive","Filters","10","szt.","191.0","1910.0","PaperMax Sp. z o.o.","2.82%","produkcjne","Q2","89.85","6/24/2024","6/29/2024","5","PLN","tak",""
"7/29/2025","PO-000040","P-0338","Dell Monitors Model 106","IT","Monitors","1","szt.","3364.75","3364.75","SafeGear Sp. z o.o.","0.00%","ofertowe","Q3","104.41","8/4/2025","8/4/2025","0","PLN","nie",""
"5/8/2025","PO-000041","P-0011","Total Oils 819L","Automotive","Oils","10","L","188.14","1881.4","IndustrialCo BV","1.66%","produkcjne","Q2","109.39","5/9/2025","5/9/2025","0","EUR","tak",""
"7/19/2024","PO-000042","P-0177","Portwest Workwear Model 185","BHP","Workwear","10","szt.","180.12","1801.2","ITDistrib Sp. z o.o.","4.67%","produkcjne","Q3","35.14","7/29/2024","7/29/2024","0","PLN","nie",""
"12/4/2024","PO-000043","P-0008","SKF Bearings Model 874","Automotive","Bearings","1","szt.","216.71","216.71","IndustrialCo Ltd","4.33%","produkcjne","Q4","8-Jun","12/15/2024","12/13/2024","-2","EUR","tak",""
"10/24/2025","PO-000044","P-0132","IKEA Office chairs Model 453","Office","Office chairs","1","szt.","1276.71","1276.71","LogiTrans S.r.l.","4.57%","produkcjne","Q4","54.87","11/3/2025","11/3/2025","0","EUR","nie",""
"8/15/2024","PO-000045","P-0069","Makita Tools Model 462","Production","Tools","2","szt.","277.85","555.7","EuroSupply SARL","0.00%","katalogowe","Q3","Jun-83","8/26/2024","8/30/2024","4","EUR","nie",""
"3/20/2024","PO-000046","P-0241","FAG Bearings 183","Automotive","Bearings","20","szt.","264.36","5287.2","OfficeLine Sp. z o.o.","1.69%","produkcjne","Q1","53.26","3/21/2024","3/19/2024","-2","PLN","nie",""
"5/19/2025","PO-000047","P-0175","Xerox Toner 830","Office","Toner","2","szt.","1188.55","2377.1","IndustrialCo Ltd","1.99%","katalogowe","Q2","74.15","5/28/2025","5/28/2025","0","EUR","nie","price anomaly"
"1/19/2025","PO-000048","P-0109","Siemens Motors 555","Production","Motors","100","szt.","1720.05","172005.0","IndustrialCo Ltd","2.19%","produkcjne","Q1","2817.19","1/26/2025","1/26/2025","0","EUR","tak",""
"2/19/2025","PO-000049","P-0249","Brother Toner Model 775","Office","Toner","50","szt.","399.23","19961.5","LogiTrans S.r.l.","0.00%","katalogowe","Q1","629.51","2/26/2025","2/26/2025","0","EUR","nie",""
"11/30/2024","PO-000050","P-0302","Mahle Filters Model 686","Automotive","Filters","5","szt.","86.36","431.8","OfficeLine Sp. z o.o.","0.00%","ofertowe","Q4","32.5","12/3/2024","12/3/2024","0","PLN","nie",""
"2/20/2025","PO-000051","P-0120","HP Printers 352","IT","Printers","1","szt.","2531.34","2531.34","OfficeLine Sp. z o.o.","1.91%","produkcjne","Q1","84.83","2/21/2025","2/21/2025","0","PLN","tak",""
"6/17/2024","PO-000052","P-0277","3M Safety glasses Model 328","BHP","Safety glasses","50","szt.","117.4","5870.0","AutoServ Sp. z o.o.","1.73%","produkcjne","Q2","177.82","6/21/2024","6/21/2024","0","PLN","tak",""
"7/24/2025","PO-000053","P-0270","DeWalt Tools Model 795","Production","Tools","200","szt.","1073.34","214668.0","ITDistrib GmbH","2.01%","produkcjne","Q3","4671.64","7/29/2025","7/29/2025","0","EUR","tak",""
"7/28/2024","PO-000054","P-0037","Mann Filters 571","Automotive","Filters","50","szt.","163.77","8188.5","ProMech Sp. z o.o.","2.04%","produkcjne","Q3","396.9","8/5/2024","8/5/2024","0","PLN","tak",""
"11/12/2023","PO-000055","P-0241","FAG Bearings 183","Automotive","Bearings","5","szt.","368.84","1844.2","PaperMax S.r.l.","0.00%","ofertowe","Q4","78.04","11/19/2023","11/26/2023","7","EUR","nie",""
"9/26/2024","PO-000056","P-0287","Uvex Safety glasses Model 318","BHP","Safety glasses","1","szt.","137.52","137.52","PaperMax BV","2.09%","ofertowe","Q3","May-14","10/4/2024","10/4/2024","0","EUR","nie",""
"8/18/2025","PO-000057","P-0111","Stabilo Pens Model 371","Office","Pens","10","szt.","Mar-34","33.4","LogiTrans Sp. z o.o.","0.00%","awaryjne","Q3","Feb-85","8/24/2025","8/24/2025","0","PLN","nie","price anomaly; urgent"
"8/5/2025","PO-000058","P-0282","3M Safety glasses 493","BHP","Safety glasses","1","szt.","191.25","191.25","IndustrialCo SARL","4.58%","produkcjne","Q3","Oct-75","8/18/2025","8/25/2025","7","EUR","tak",""
"11/23/2023","PO-000059","P-0250","Nowy Styl Office chairs 162","Office","Office chairs","20","szt.","960.71","19214.2","PaperMax GmbH","0.00%","katalogowe","Q4","201.51","12/2/2023","12/4/2023","2","EUR","nie",""
"9/13/2025","PO-000060","P-0093","Bosch Filters 887","Automotive","Filters","50","szt.","35.85","1792.5","LogiTrans Sp. z o.o.","4.58%","ramowe","Q3","42.21","9/16/2025","9/16/2025","0","PLN","tak",""
"11/17/2023","PO-000061","P-0131","Castrol Oils 773L","Automotive","Oils","5","L","78.53","392.65","ProMech Sp. z o.o.","2.69%","produkcjne","Q4","8-May","11/27/2023","12/2/2023","5","PLN","tak",""
"12/3/2023","PO-000062","P-0106","Milwaukee Tools 577","Production","Tools","20","szt.","950.7","19014.0","LogiTrans BV","2.64%","produkcjne","Q4","537.66","12/7/2023","12/17/2023","10","EUR","tak",""
"3/18/2024","PO-000063","P-0086","Siemens Motors 957","Production","Motors","1","szt.","4403.37","4403.37","EuroSupply Sp. z o.o.","2.18%","ofertowe","Q1","221.53","3/24/2024","3/24/2024","0","PLN","nie",""
"4/12/2024","PO-000064","P-0311","Brother Printers Model 576","IT","Printers","100","szt.","2135.76","213576.0","OfficeLine Sp. z o.o.","2.02%","produkcjne","Q2","3456.02","4/13/2024","4/13/2024","0","PLN","tak",""
"10/7/2024","PO-000065","P-0269","ABB Motors 671","Production","Motors","100","szt.","6140.46","614046.0","TechParts Sp. z o.o.","4.69%","produkcjne","Q4","6000.0","10/13/2024","10/15/2024","2","PLN","tak",""
"5/30/2024","PO-000066","P-0193","Siemens Motors 871","Production","Motors","5","szt.","5945.18","29725.9","EuroSupply GmbH","1.30%","katalogowe","Q2","571.18","6/11/2024","6/11/2024","0","EUR","nie",""
"6/30/2024","PO-000067","P-0074","Mobil Oils 514L","Automotive","Oils","5","L","62.81","314.05","IndustrialCo Sp. z o.o.","2.62%","produkcjne","Q2","32.49","7/8/2024","7/12/2024","4","PLN","tak",""
"12/26/2024","PO-000068","P-0032","Gates Engine parts Model 115","Automotive","Engine parts","20","szt.","1957.18","39143.6","OfficeLine Sp. z o.o.","0.00%","katalogowe","Q4","1068.59","12/29/2024","12/29/2024","0","PLN","nie",""
"1/4/2025","PO-000069","P-0234","Microsoft Software 771","IT","Software","5","licencja","8201.97","41009.85","AutoServ Sp. z o.o.","0.00%","ramowe","Q1","718.77","1/8/2025","1/15/2025","7","PLN","tak",""
"2/2/2024","PO-000070","P-0070","Siemens Sensors 515","Production","Sensors","200","szt.","149.14","29828.0","OfficeLine Ltd","0.00%","ramowe","Q1","651.8","2/6/2024","2/6/2024","0","EUR","nie",""
"7/22/2024","PO-000071","P-0321","HP Printers Model 161","IT","Printers","10","szt.","978.59","9785.9","EuroSupply S.r.l.","4.57%","produkcjne","Q3","281.1","7/29/2024","7/28/2024","-1","EUR","tak",""
"6/10/2025","PO-000072","P-0185","Shell Oils 837L","Automotive","Oils","10","L","60.62","606.2","IndustrialCo Sp. z o.o.","1.96%","produkcjne","Q2","13.64","6/15/2025","6/17/2025","2","PLN","tak",""
"9/20/2024","PO-000073","P-0092","Canon Printers 771","IT","Printers","1","szt.","4039.76","4039.76","OfficeLine Sp. z o.o.","2.90%","produkcjne","Q3","234.12","9/21/2024","9/21/2024","0","PLN","nie",""
"4/7/2025","PO-000074","P-0116","Papyrus Paper 886 op.","Office","Paper","1","op.","29.32","29.32","PaperMax GmbH","4.15%","katalogowe","Q2","0.36","4/13/2025","4/13/2025","0","EUR","nie",""
"3/11/2025","PO-000075","P-0218","Dell Monitors 692","IT","Monitors","5","szt.","3425.26","17126.3","LogiTrans Sp. z o.o.","0.00%","ramowe","Q1","217.22","3/14/2025","3/14/2025","0","PLN","tak",""
"3/29/2025","PO-000076","P-0108","Mahle Filters 440","Automotive","Filters","2","szt.","245.87","491.74","PaperMax Sp. z o.o.","2.28%","produkcjne","Q1","44.85","4/9/2025","4/9/2025","0","PLN","nie",""
"11/15/2024","PO-000077","P-0299","Helly Hansen Workwear Model 122","BHP","Workwear","200","szt.","467.93","93586.0","OfficeLine Ltd","4.57%","produkcjne","Q4","1923.21","11/28/2024","12/5/2024","7","EUR","tak",""
"9/23/2024","PO-000078","P-0099","NTN Bearings 561","Automotive","Bearings","100","szt.","275.2","27520.0","IndustrialCo Sp. z o.o.","1.43%","produkcjne","Q3","1041.2","9/30/2024","9/30/2024","0","PLN","tak",""
"3/28/2025","PO-000079","P-0306","Xerox Toner 349","Office","Toner","20","szt.","508.71","10174.2","LogiTrans Sp. z o.o.","1.43%","produkcjne","Q1","388.55","3/30/2025","3/30/2025","0","PLN","tak",""
"7/3/2024","PO-000080","P-0034","Navigator Paper 836 op.","Office","Paper","5","op.","48.97","244.85","LogiTrans Sp. z o.o.","1.39%","produkcjne","Q3","27.95","7/7/2024","7/7/2024","0","PLN","nie",""
"6/19/2025","PO-000081","P-0045","Sachs Engine parts Model 494","Automotive","Engine parts","200","szt.","717.45","143490.0","OfficeLine Sp. z o.o.","1.99%","produkcjne","Q2","1114.31","6/20/2025","6/20/2025","0","PLN","tak",""
"8/2/2025","PO-000082","P-0338","Dell Monitors Model 106","IT","Monitors","200","szt.","2415.62","483124.0","SafeGear S.r.l.","0.00%","awaryjne","Q3","6000.0","8/12/2025","8/12/2025","0","EUR","nie",""
"1/8/2024","PO-000083","P-0194","ABB Motors 403","Production","Motors","5","szt.","6799.45","33997.25","EuroSupply Sp. z o.o.","3.03%","produkcjne","Q1","1025.02","1/22/2024","1/28/2024","6","PLN","tak",""
"12/16/2023","PO-000084","P-0286","Dell Monitors 193","IT","Monitors","2","szt.","985.03","1970.06","TechParts Sp. z o.o.","4.59%","ramowe","Q4","145.44","12/20/2023","12/24/2023","4","PLN","tak",""
"1/23/2024","PO-000085","P-0114","Brother Toner 137","Office","Toner","20","szt.","935.28","18705.6","ITDistrib Sp. z o.o.","1.73%","produkcjne","Q1","461.65","2/2/2024","2/2/2024","0","PLN","tak",""
"8/17/2025","PO-000086","P-0103","Mahle Filters 613","Automotive","Filters","1","szt.","217.16","217.16","ProMech Sp. z o.o.","4.57%","produkcjne","Q3","15-Apr","8/25/2025","8/25/2025","0","PLN","tak",""
"10/1/2025","PO-000087","P-0181","LG Monitors 907","IT","Monitors","100","szt.","2557.07","255707.0","PaperMax GmbH","2.69%","produkcjne","Q4","6000.0","10/10/2025","10/7/2025","-3","EUR","tak",""
"3/27/2025","PO-000088","P-0030","Xerox Paper 153 op.","Office","Paper","100","op.","46.69","4669.0","TechParts Ltd","3.42%","produkcjne","Q1","220.31","4/2/2025","4/2/2025","0","EUR","tak",""
"4/13/2024","PO-000089","P-0103","Mahle Filters 613","Automotive","Filters","20","szt.","206.65","4133.0","ProMech Sp. z o.o.","2.77%","produkcjne","Q2","218.35","4/19/2024","4/24/2024","5","PLN","tak",""
"2/2/2024","PO-000090","P-0152","DeWalt Tools 121","Production","Tools","2","szt.","1851.28","3702.56","EuroSupply GmbH","2.91%","produkcjne","Q1","14.83","2/14/2024","2/22/2024","8","EUR","tak",""
"7/1/2025","PO-000091","P-0218","Dell Monitors 692","IT","Monitors","5","szt.","3306.96","16534.8","LogiTrans Sp. z o.o.","3.14%","produkcjne","Q3","507.46","7/4/2025","7/13/2025","9","PLN","tak",""
"1/12/2025","PO-000092","P-0008","SKF Bearings Model 874","Automotive","Bearings","5","szt.","236.26","1181.3","LogiTrans Ltd","2.43%","katalogowe","Q1","81.74","1/20/2025","1/20/2025","0","EUR","nie",""
"4/27/2025","PO-000093","P-0316","BIC Pens 221","Office","Pens","1","szt.","Jan-82","Jan-82","AutoServ Sp. z o.o.","0.00%","ramowe","Q2","0.1","5/6/2025","5/6/2025","0","PLN","tak",""
"8/24/2025","PO-000094","P-0143","Xerox Toner Model 502","Office","Toner","10","szt.","625.79","6257.9","TechParts Ltd","0.00%","ramowe","Q3","74.29","8/30/2025","8/30/2025","0","EUR","tak",""
"10/25/2024","PO-000095","P-0143","Xerox Toner Model 502","Office","Toner","2","szt.","655.31","1310.62","AutoServ Sp. z o.o.","0.00%","awaryjne","Q4","10-Aug","10/29/2024","10/26/2024","-3","PLN","nie",""
"3/12/2025","PO-000096","P-0250","Nowy Styl Office chairs 162","Office","Office chairs","200","szt.","1102.54","220508.0","LogiTrans Ltd","0.00%","ramowe","Q1","5462.99","3/15/2025","3/15/2025","0","EUR","nie",""
"5/23/2024","PO-000097","P-0015","BIC Pens 103","Office","Pens","1","szt.","Jan-17","Jan-17","TechParts Sp. z o.o.","1.29%","produkcjne","Q2","0.13","5/26/2024","5/26/2024","0","PLN","tak",""
"1/8/2024","PO-000098","P-0072","BIC Pens Model 714","Office","Pens","100","szt.","Jan-48","148.0","LogiTrans S.r.l.","4.58%","ramowe","Q1","Nov-43","1/15/2024","1/15/2024","0","EUR","tak",""
"3/5/2024","PO-000099","P-0207","NTN Bearings 636","Automotive","Bearings","20","szt.","254.6","5092.0","PaperMax Sp. z o.o.","2.47%","produkcjne","Q1","230.52","3/13/2024","3/13/2024","0","PLN","tak",""
"2/26/2024","PO-000100","P-0347","Pepperl+Fuchs Sensors Model 474","Production","Sensors","10","szt.","444.6","4446.0","EuroSupply Sp. z o.o.","4.49%","ramowe","Q1","265.54","3/7/2024","3/7/2024","0","PLN","tak",""
"8/14/2024","PO-000101","P-0165","LG Monitors 668","IT","Monitors","2","szt.","3323.27","6646.54","AutoServ BV","2.11%","produkcjne","Q3","73.63","8/26/2024","8/28/2024","2","EUR","tak",""
"7/27/2024","PO-000102","P-0275","Siemens Motors 640","Production","Motors","5","szt.","1882.0","9410.0","SafeGear GmbH","1.94%","produkcjne","Q3","315.7","8/2/2024","8/8/2024","6","EUR","tak",""
"12/6/2024","PO-000103","P-0265","REX Screws 462","Production","Screws","1","szt.","Jan-52","Jan-52","OfficeLine Ltd","0.00%","ramowe","Q4","0.16","12/10/2024","12/18/2024","8","EUR","tak",""
"4/16/2025","PO-000104","P-0242","3M Safety glasses Model 346","BHP","Safety glasses","200","szt.","130.69","26138.0","PaperMax GmbH","1.91%","ofertowe","Q2","175.2","4/26/2025","4/26/2025","0","EUR","nie",""
"12/26/2024","PO-000105","P-0254","Samsung Monitors Model 878","IT","Monitors","100","szt.","2347.9","234790.0","ITDistrib SARL","0.00%","awaryjne","Q4","867.73","12/30/2024","12/30/2024","0","EUR","nie",""
"2/8/2024","PO-000106","P-0099","NTN Bearings 561","Automotive","Bearings","2","szt.","307.03","614.06","IndustrialCo Sp. z o.o.","0.00%","ramowe","Q1","44.59","2/14/2024","2/17/2024","3","PLN","tak",""
"5/22/2025","PO-000107","P-0169","SICK Sensors Model 536","Production","Sensors","1","szt.","837.26","837.26","TechParts Ltd","2.45%","produkcjne","Q2","Jun-27","5/27/2025","6/2/2025","6","EUR","tak",""
"8/11/2024","PO-000108","P-0236","Brother Printers Model 421","IT","Printers","10","szt.","4168.8","41688.0","ITDistrib SARL","4.58%","produkcjne","Q3","792.4","8/14/2024","8/14/2024","0","EUR","tak",""
"1/3/2025","PO-000109","P-0098","Xerox Toner Model 461","Office","Toner","50","szt.","929.01","46450.5","AutoServ SARL","0.00%","produkcjne","Q1","813.6","1/17/2025","1/27/2025","10","EUR","tak",""
"11/4/2024","PO-000110","P-0017","Microsoft Software 999","IT","Software","100","licencja","3481.28","348128.0","AutoServ Sp. z o.o.","1.56%","produkcjne","Q4","5342.96","11/6/2024","11/4/2024","-2","PLN","tak",""
"5/7/2024","PO-000111","P-0305","Canon Printers 859","IT","Printers","200","szt.","5134.73","1026946.0","OfficeLine Ltd","4.73%","produkcjne","Q2","6000.0","5/12/2024","5/12/2024","0","EUR","tak",""
"10/10/2024","PO-000112","P-0226","Milwaukee Tools 168","Production","Tools","10","szt.","401.31","4013.1","SafeGear Sp. z o.o.","2.42%","produkcjne","Q4","211.57","10/22/2024","10/22/2024","0","PLN","tak",""
"10/9/2025","PO-000113","P-0021","Uvex Gloves Model 145","BHP","Gloves","10","para","28-Dec","281.2","OfficeLine BV","4.63%","produkcjne","Q4","17.66","10/19/2025","10/19/2025","0","EUR","nie",""
"10/5/2025","PO-000114","P-0193","Siemens Motors 871","Production","Motors","2","szt.","6233.73","12467.46","EuroSupply Sp. z o.o.","4.59%","produkcjne","Q4","163.67","10/17/2025","10/17/2025","0","PLN","tak",""
"3/19/2024","PO-000115","P-0261","Sachs Engine parts Model 290","Automotive","Engine parts","2","szt.","1519.62","3039.24","ProMech Sp. z o.o.","0.00%","ramowe","Q1","93.37","3/26/2024","3/26/2024","0","PLN","tak",""
"11/7/2024","PO-000116","P-0124","Profim Office chairs Model 193","Office","Office chairs","200","szt.","1307.99","261598.0","LogiTrans Ltd","0.00%","ramowe","Q4","317.21","11/18/2024","11/18/2024","0","EUR","tak",""
"11/2/2023","PO-000117","P-0348","Helly Hansen Workwear Model 871","BHP","Workwear","10","szt.","434.22","4342.2","AutoServ Sp. z o.o.","1.87%","produkcjne","Q4","93.26","11/8/2023","11/8/2023","0","PLN","nie",""
"6/7/2025","PO-000118","P-0226","Milwaukee Tools 168","Production","Tools","5","szt.","398.9","1994.5","SafeGear Sp. z o.o.","2.72%","produkcjne","Q2","126.72","6/15/2025","6/15/2025","0","PLN","tak",""
"10/5/2025","PO-000119","P-0140","HP Toner 893","Office","Toner","200","szt.","629.62","125924.0","EuroSupply Sp. z o.o.","3.52%","produkcjne","Q4","3299.15","10/15/2025","10/17/2025","2","PLN","nie",""
"7/2/2025","PO-000120","P-0235","Brother Printers 970","IT","Printers","2","szt.","1473.64","2947.28","LogiTrans Sp. z o.o.","0.00%","katalogowe","Q3","88.35","7/5/2025","7/5/2025","0","PLN","nie",""
"9/3/2025","PO-000121","P-0175","Xerox Toner 830","Office","Toner","20","szt.","897.22","17944.4","OfficeLine Sp. z o.o.","0.00%","awaryjne","Q3","479.76","9/4/2025","9/4/2025","0","PLN","nie",""
"12/4/2024","PO-000122","P-0194","ABB Motors 403","Production","Motors","5","szt.","7496.82","37484.1","EuroSupply Sp. z o.o.","4.43%","produkcjne","Q4","202.77","12/11/2024","12/14/2024","3","PLN","tak",""
"12/13/2024","PO-000123","P-0177","Portwest Workwear Model 185","BHP","Workwear","20","szt.","182.42","3648.4","PaperMax SARL","0.00%","katalogowe","Q4","46.8","12/21/2024","12/21/2024","0","EUR","nie",""
