"Supplier_ID","Supplier_Name","Category","Reliability_Score","Avg_Delivery_Days","Price_Score","Quality_Score","Contact_Email","Country","Currency"
"S-057","AutoServ SARL","Office;Automotive","0.75","15","0.79","0.9","kontakt@autoserv.com","Germany","EUR"
"S-058","AutoServ Sp. z o.o.","IT;Office","0.76","4","0.61","0.63","kontakt@autoserv.com","Poland","PLN"
"S-059","PaperMax Sp. z o.o.","Production","0.8","6","0.69","0.78","kontakt@papermax.com","Poland","PLN"
"S-060","SafeGear Sp. z o.o.","IT","0.72","6","0.78","0.81","kontakt@safegear.com","Poland","PLN"
"S-061","OfficeLine Ltd","IT","0.76","5","0.77","0.72","kontakt@officeline.com","Italy","EUR"
"S-062","ProMech SARL","Production","0.74","2","0.62","0.82","kontakt@promech.com","Germany","EUR"
"S-063","AutoServ Sp. z o.o.","IT","0.81","9","0.71","0.97","kontakt@autoserv.com","Poland","PLN"
"S-064","LogiTrans Ltd","Office;Automotive","0.74","7","0.91","0.75","kontakt@logitrans.com","Slovakia","EUR"
"S-065","EuroSupply GmbH","Production;IT","0.75","9","0.73","0.84","kontakt@eurosupply.com","Czech Republic","EUR"
"S-066","ITDistrib Sp. z o.o.","BHP","0.74","7","0.74","0.75","kontakt@itdistrib.com","Poland","PLN"
"S-067","LogiTrans S.r.l.","Office","0.71","7","0.51","0.92","kontakt@logitrans.com","France","EUR"
"S-068","IndustrialCo Sp. z o.o.","Automotive","0.78","17","0.72","0.85","kontakt@industrialco.com","Poland","PLN"
"S-069","ITDistrib SARL","BHP;IT","0.81","4","0.51","0.69","kontakt@itdistrib.com","Italy","EUR"
"S-070","PaperMax GmbH","Office","0.91","5","0.58","0.82","kontakt@papermax.com","Germany","EUR"
"S-071","SafeGear GmbH","Production","0.88","1","0.72","0.76","kontakt@safegear.com","Italy","EUR"
"S-072","OfficeLine Sp. z o.o.","IT","0.83","4","0.78","0.61","kontakt@officeline.com","Poland","PLN"
"S-073","SafeGear GmbH","IT;Automotive","0.88","18","0.94","0.96","kontakt@safegear.com","Czech Republic","EUR"
"S-074","EuroSupply S.r.l.","IT","0.95","13","0.96","0.76","kontakt@eurosupply.com","Italy","EUR"
"S-075","TechParts Ltd","Office","0.78","10","0.71","0.83","kontakt@techparts.com","Czech Republic","EUR"
"S-076","LogiTrans Sp. z o.o.","Automotive;IT","0.87","5","0.54","0.99","kontakt@logitrans.com","Poland","PLN"
"S-077","ProMech Sp. z o.o.","Production","0.73","9","0.86","0.87","kontakt@promech.com","Poland","PLN"
"S-078","PaperMax Sp. z o.o.","IT","0.97","14","0.55","0.85","kontakt@papermax.com","Poland","PLN"
"S-079","ITDistrib GmbH","Production","0.92","3","0.63","0.75","kontakt@itdistrib.com","Czech Republic","EUR"
"S-080","LogiTrans Sp. z o.o.","IT","0.92","10","0.94","0.62","kontakt@logitrans.com","Poland","PLN"
"S-081","SafeGear S.r.l.","IT","0.82","11","0.93","0.8","kontakt@safegear.com","Netherlands","EUR"
"S-082","ITDistrib Sp. z o.o.","BHP","0.85","13","0.6","0.67","kontakt@itdistrib.com","Poland","PLN"
"S-083","LogiTrans SARL","Production","0.82","4","0.67","0.75","kontakt@logitrans.com","Czech Republic","EUR"
"S-084","IndustrialCo Sp. z o.o.","BHP","0.96","9","0.88","0.65","kontakt@industrialco.com","Poland","PLN"
"S-085","OfficeLine Sp. z o.o.","BHP;IT","0.71","14","0.96","0.71","kontakt@officeline.com","Poland","PLN"
